Order,Material,Type,MRP,PrS,Plnt,Order quantity,Unit,Bsc start,Basic fin.,System Status,Material description
832719,4006400,LA,300,,1000,"6,800.00",KG,16/10/2025,17/10/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
832720,4006400,LA,300,,1000,"6,800.00",KG,23/10/2025,24/10/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
832721,4006400,LA,300,,1000,"6,800.00",KG,06/11/2025,07/11/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
832722,4006400,LA,300,,1000,"6,800.00",KG,14/11/2025,17/11/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
832723,4006400,LA,300,,1000,"6,800.00",KG,02/12/2025,03/12/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
832724,4006400,LA,300,,1000,"6,800.00",KG,16/12/2025,17/12/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
832725,4006400,LA,300,,1000,"6,800.00",KG,05/01/2026,06/01/2026,,"BULK, Triamcinolone Actnd Crm 0.1%"
832726,4006400,LA,300,,1000,"6,800.00",KG,19/01/2026,20/01/2026,,"BULK, Triamcinolone Actnd Crm 0.1%"
714252,4006900,LA,300,,1000,"3,600.00",KG,17/03/2025,18/03/2025,,"BULK, Glutose Lemon"
714253,4006900,LA,300,,1000,"3,600.00",KG,18/03/2025,19/03/2025,,"BULK, Glutose Lemon"
833658,4006900,LA,300,,1000,"3,600.00",KG,07/07/2025,14/07/2025,,"BULK, Glutose Lemon"
833659,4006900,LA,300,,1000,"3,600.00",KG,29/08/2025,08/09/2025,,"BULK, Glutose Lemon"
833660,4006900,LA,300,,1000,"3,600.00",KG,01/10/2025,08/10/2025,,"BULK, Glutose Lemon"
833661,4006900,LA,300,,1000,"3,600.00",KG,20/10/2025,27/10/2025,,"BULK, Glutose Lemon"
833662,4006900,LA,300,,1000,"3,600.00",KG,16/12/2025,23/12/2025,,"BULK, Glutose Lemon"
713264,4006901,LA,100,,1000,"54,291.00",EA,25/03/2025,26/03/2025,,"SFG, Glutose Lemon 15 g Tube"
692894,4006901,LA,100,,1000,"82,260.00",EA,26/03/2025,28/03/2025,,"SFG, Glutose Lemon 15 g Tube"
832969,4006901,LA,100,,1000,"82,260.00",EA,14/07/2025,21/07/2025,,"SFG, Glutose Lemon 15 g Tube"
832970,4006901,LA,100,,1000,"82,260.00",EA,08/09/2025,15/09/2025,,"SFG, Glutose Lemon 15 g Tube"
832971,4006901,LA,100,,1000,"82,260.00",EA,27/10/2025,03/11/2025,,"SFG, Glutose Lemon 15 g Tube"
832972,4006901,LA,100,,1000,"82,260.00",EA,23/12/2025,05/01/2026,,"SFG, Glutose Lemon 15 g Tube"
807073,4006902,LA,100,,1000,"10,419.00",EA,24/03/2025,25/03/2025,,"SFG, Glutose Lemon 45 g Tube"
833672,4007000,LA,300,,1000,"3,600.00",KG,31/10/2025,07/11/2025,,"BULK, Glutose Grape"
832978,4007015,LA,100,,1000,"82,260.00",EA,07/11/2025,14/11/2025,,"SFG, Glutose Grape 15 g Tube"
801363,4010600,LA,300,,1000,42,KG,14/02/2025,18/02/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
801364,4010600,LA,300,,1000,42,KG,14/02/2025,18/02/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
801804,4010600,LA,300,,1000,42,KG,14/02/2025,18/02/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
802038,4010600,LA,300,,1000,42,KG,14/02/2025,18/02/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
802039,4010600,LA,300,,1000,42,KG,14/02/2025,18/02/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
801365,4010600,LA,300,,1000,42,KG,04/04/2025,08/04/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
801366,4010600,LA,300,,1000,42,KG,04/04/2025,08/04/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
804184,4010600,LA,300,,1000,42,KG,04/04/2025,08/04/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
804731,4010600,LA,300,,1000,42,KG,04/04/2025,08/04/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
805726,4010600,LA,300,,1000,42,KG,04/04/2025,08/04/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
805840,4010600,LA,300,,1000,42,KG,04/04/2025,08/04/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833675,4010600,LA,300,,1000,42,KG,10/07/2025,17/07/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833676,4010600,LA,300,,1000,42,KG,17/07/2025,24/07/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833677,4010600,LA,300,,1000,42,KG,07/08/2025,14/08/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833678,4010600,LA,300,,1000,42,KG,07/08/2025,14/08/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833679,4010600,LA,300,,1000,42,KG,05/09/2025,12/09/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833680,4010600,LA,300,,1000,42,KG,08/09/2025,15/09/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833681,4010600,LA,300,,1000,42,KG,24/09/2025,01/10/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833682,4010600,LA,300,,1000,42,KG,02/10/2025,09/10/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833683,4010600,LA,300,,1000,42,KG,08/10/2025,15/10/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833684,4010600,LA,300,,1000,42,KG,06/11/2025,13/11/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833685,4010600,LA,300,,1000,42,KG,06/11/2025,13/11/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833686,4010600,LA,300,,1000,42,KG,01/12/2025,08/12/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833687,4010600,LA,300,,1000,42,KG,08/12/2025,15/12/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833688,4010600,LA,300,,1000,42,KG,15/12/2025,22/12/2025,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833689,4010600,LA,300,,1000,42,KG,09/01/2026,16/01/2026,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833690,4010600,LA,300,,1000,42,KG,16/01/2026,23/01/2026,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
833691,4010600,LA,300,,1000,42,KG,30/01/2026,06/02/2026,,"BULK, Bromocrip Powder Blend 2.5 mg Tab"
50382,4010601,PI01,300,,1000,"300,000.00",EA,06/01/2025,07/01/2025,REL  PRT  CNF  DLV  PRC  BASC BCRQ GMPS*,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
50385,4010601,PI01,300,,1000,"300,000.00",EA,06/01/2025,07/01/2025,REL  PRT  CNF  DLV  PRC  BASC BCRQ GMPS*,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
50388,4010601,PI01,300,,1000,"300,000.00",EA,07/01/2025,08/01/2025,REL  PRT  CNF  DLV  PRC  BASC BCRQ GMPS*,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
50391,4010601,PI01,300,,1000,"300,000.00",EA,07/01/2025,08/01/2025,REL  MSPT PRT  CNF  DLV  PRC  BASC BCRQ*,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
50394,4010601,PI01,300,,1000,"300,000.00",EA,08/01/2025,09/01/2025,REL  MSPT PRT  CNF  DLV  PRC  BASC BCRQ*,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
50397,4010601,PI01,300,,1000,"300,000.00",EA,08/01/2025,09/01/2025,REL  PRT  CNF  DLV  PRC  BASC BCRQ GMPS*,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
801146,4010601,LA,300,,1000,"300,000.00",EA,24/02/2025,26/02/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
801147,4010601,LA,300,,1000,"300,000.00",EA,24/02/2025,26/02/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
801790,4010601,LA,300,,1000,"300,000.00",EA,24/02/2025,26/02/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
802025,4010601,LA,300,,1000,"300,000.00",EA,24/02/2025,26/02/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
802026,4010601,LA,300,,1000,"300,000.00",EA,24/02/2025,26/02/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
801148,4010601,LA,300,,1000,"300,000.00",EA,14/04/2025,16/04/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
801149,4010601,LA,300,,1000,"300,000.00",EA,14/04/2025,16/04/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
802836,4010601,LA,300,,1000,"300,000.00",EA,14/04/2025,16/04/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
804601,4010601,LA,300,,1000,"300,000.00",EA,14/04/2025,16/04/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
805721,4010601,LA,300,,1000,"300,000.00",EA,14/04/2025,16/04/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
805833,4010601,LA,300,,1000,"300,000.00",EA,14/04/2025,16/04/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833012,4010601,LA,300,,1000,"300,000.00",EA,17/07/2025,24/07/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833013,4010601,LA,300,,1000,"300,000.00",EA,24/07/2025,31/07/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833014,4010601,LA,300,,1000,"300,000.00",EA,14/08/2025,21/08/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833015,4010601,LA,300,,1000,"300,000.00",EA,14/08/2025,21/08/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833016,4010601,LA,300,,1000,"300,000.00",EA,12/09/2025,19/09/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833017,4010601,LA,300,,1000,"300,000.00",EA,15/09/2025,22/09/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833018,4010601,LA,300,,1000,"300,000.00",EA,01/10/2025,08/10/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833019,4010601,LA,300,,1000,"300,000.00",EA,09/10/2025,16/10/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833020,4010601,LA,300,,1000,"300,000.00",EA,15/10/2025,22/10/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833021,4010601,LA,300,,1000,"300,000.00",EA,13/11/2025,20/11/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833022,4010601,LA,300,,1000,"300,000.00",EA,13/11/2025,20/11/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833023,4010601,LA,300,,1000,"300,000.00",EA,08/12/2025,15/12/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833024,4010601,LA,300,,1000,"300,000.00",EA,15/12/2025,22/12/2025,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833025,4010601,LA,300,,1000,"300,000.00",EA,22/12/2025,02/01/2026,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833026,4010601,LA,300,,1000,"300,000.00",EA,16/01/2026,23/01/2026,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
833027,4010601,LA,300,,1000,"300,000.00",EA,23/01/2026,30/01/2026,,"BULK, Bromocrip Mesyl Tab USP 2.5 mg"
50424,4010700,PI01,300,,1000,340,KG,03/01/2025,09/01/2025,REL  PRT  CNF  DLV  PRC  BASC BCRQ GMPS*,"BULK, Clotrimazole Powder Blend 10 mg"
50427,4010700,PI01,300,,1000,340,KG,03/01/2025,10/01/2025,REL  PRT  CNF  DLV  PRC  BASC BCRQ GMPS*,"BULK, Clotrimazole Powder Blend 10 mg"
50430,4010700,PI01,300,,1000,340,KG,03/01/2025,13/01/2025,REL  PRT  CNF  DLV  PRC  BASC BCRQ GMPS*,"BULK, Clotrimazole Powder Blend 10 mg"
50433,4010700,PI01,300,,1000,340,KG,17/01/2025,21/01/2025,REL  PRT  PRC  BASC BCRQ MACM SETC,"BULK, Clotrimazole Powder Blend 10 mg"
50472,4010700,PI01,300,,1000,340,KG,17/01/2025,22/01/2025,REL  PRT  PRC  BASC BCRQ MACM SETC,"BULK, Clotrimazole Powder Blend 10 mg"
50475,4010700,PI01,300,,1000,340,KG,17/01/2025,23/01/2025,REL  PRT  PRC  BASC BCRQ MACM SETC,"BULK, Clotrimazole Powder Blend 10 mg"
50478,4010700,PI01,300,,1000,340,KG,17/01/2025,24/01/2025,REL  PRT  PRC  BASC BCRQ MACM SETC,"BULK, Clotrimazole Powder Blend 10 mg"
700250,4010700,LA,300,,1000,340,KG,31/01/2025,06/02/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
709765,4010700,LA,300,,1000,340,KG,31/01/2025,06/02/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
714835,4010700,LA,300,,1000,340,KG,31/01/2025,06/02/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
725050,4010700,LA,300,,1000,340,KG,31/01/2025,06/02/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
802183,4010700,LA,300,,1000,340,KG,28/02/2025,06/03/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
802921,4010700,LA,300,,1000,340,KG,28/02/2025,06/03/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
804353,4010700,LA,300,,1000,340,KG,28/02/2025,06/03/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
804815,4010700,LA,300,,1000,340,KG,28/02/2025,06/03/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
794465,4010700,LA,300,,1000,340,KG,28/03/2025,03/04/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
799341,4010700,LA,300,,1000,340,KG,28/03/2025,03/04/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
799510,4010700,LA,300,,1000,340,KG,28/03/2025,03/04/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
801951,4010700,LA,300,,1000,340,KG,28/03/2025,03/04/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
808868,4010700,LA,300,,1000,340,KG,19/05/2025,23/05/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
809080,4010700,LA,300,,1000,340,KG,19/05/2025,23/05/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
810001,4010700,LA,300,,1000,340,KG,19/05/2025,23/05/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
810161,4010700,LA,300,,1000,340,KG,19/05/2025,23/05/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831120,4010700,LA,300,,1000,340,KG,08/07/2025,15/07/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831121,4010700,LA,300,,1000,340,KG,15/07/2025,22/07/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831122,4010700,LA,300,,1000,340,KG,22/07/2025,29/07/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831123,4010700,LA,300,,1000,340,KG,05/08/2025,12/08/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831124,4010700,LA,300,,1000,340,KG,12/08/2025,19/08/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831125,4010700,LA,300,,1000,340,KG,26/08/2025,03/09/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831126,4010700,LA,300,,1000,340,KG,10/09/2025,17/09/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831127,4010700,LA,300,,1000,340,KG,17/09/2025,24/09/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831128,4010700,LA,300,,1000,340,KG,30/09/2025,07/10/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831129,4010700,LA,300,,1000,340,KG,13/10/2025,20/10/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831130,4010700,LA,300,,1000,340,KG,17/10/2025,24/10/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831131,4010700,LA,300,,1000,340,KG,21/10/2025,28/10/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
44985,4010700,PI01,300,,1000,340,KG,23/10/2025,30/10/2025,REL  PRT  PRC  CSER BASC BCRQ MACM SETC,"BULK, Clotrimazole Powder Blend 10 mg"
831132,4010700,LA,300,,1000,340,KG,18/11/2025,25/11/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831133,4010700,LA,300,,1000,340,KG,25/11/2025,04/12/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831134,4010700,LA,300,,1000,340,KG,11/12/2025,18/12/2025,,"BULK, Clotrimazole Powder Blend 10 mg"
831135,4010700,LA,300,,1000,340,KG,29/12/2025,07/01/2026,,"BULK, Clotrimazole Powder Blend 10 mg"
831136,4010700,LA,300,,1000,340,KG,07/01/2026,14/01/2026,,"BULK, Clotrimazole Powder Blend 10 mg"
831137,4010700,LA,300,,1000,340,KG,21/01/2026,28/01/2026,,"BULK, Clotrimazole Powder Blend 10 mg"
831138,4010700,LA,300,,1000,340,KG,28/01/2026,04/02/2026,,"BULK, Clotrimazole Powder Blend 10 mg"
50425,4010701,PI01,300,,1000,"340,000.00",EA,13/01/2025,15/01/2025,REL  PRT  CNF  DLV  PRC  BASC BCRQ GMPS*,"BULK, Clotrimazole Lozenges 10 mg"
50428,4010701,PI01,300,,1000,"340,000.00",EA,14/01/2025,16/01/2025,REL  PRT  CNF  DLV  PRC  BASC BCRQ GMPS*,"BULK, Clotrimazole Lozenges 10 mg"
50431,4010701,PI01,300,,1000,"340,000.00",EA,15/01/2025,17/01/2025,REL  PRT  CNF  DLV  PRC  BASC BCRQ GMPS*,"BULK, Clotrimazole Lozenges 10 mg"
50434,4010701,PI01,300,,1000,"340,000.00",EA,27/01/2025,27/01/2025,REL  MSPT PRT  PRC  BASC BCRQ SETC,"BULK, Clotrimazole Lozenges 10 mg"
50473,4010701,PI01,300,,1000,"340,000.00",EA,28/01/2025,28/01/2025,REL  MSPT PRT  PRC  BASC BCRQ SETC,"BULK, Clotrimazole Lozenges 10 mg"
50476,4010701,PI01,300,,1000,"340,000.00",EA,29/01/2025,29/01/2025,REL  MSPT PRT  PRC  BASC BCRQ SETC,"BULK, Clotrimazole Lozenges 10 mg"
50479,4010701,PI01,300,,1000,"340,000.00",EA,30/01/2025,30/01/2025,REL  MSPT PRT  PRC  BASC BCRQ SETC,"BULK, Clotrimazole Lozenges 10 mg"
656335,4010701,LA,300,,1000,"340,000.00",EA,10/02/2025,13/02/2025,,"BULK, Clotrimazole Lozenges 10 mg"
657172,4010701,LA,300,,1000,"340,000.00",EA,10/02/2025,13/02/2025,,"BULK, Clotrimazole Lozenges 10 mg"
700242,4010701,LA,300,,1000,"340,000.00",EA,10/02/2025,13/02/2025,,"BULK, Clotrimazole Lozenges 10 mg"
700243,4010701,LA,300,,1000,"340,000.00",EA,10/02/2025,13/02/2025,,"BULK, Clotrimazole Lozenges 10 mg"
802158,4010701,LA,300,,1000,"340,000.00",EA,10/03/2025,13/03/2025,,"BULK, Clotrimazole Lozenges 10 mg"
802870,4010701,LA,300,,1000,"340,000.00",EA,10/03/2025,13/03/2025,,"BULK, Clotrimazole Lozenges 10 mg"
804343,4010701,LA,300,,1000,"340,000.00",EA,10/03/2025,13/03/2025,,"BULK, Clotrimazole Lozenges 10 mg"
804345,4010701,LA,300,,1000,"340,000.00",EA,10/03/2025,13/03/2025,,"BULK, Clotrimazole Lozenges 10 mg"
794464,4010701,LA,300,,1000,"340,000.00",EA,07/04/2025,10/04/2025,,"BULK, Clotrimazole Lozenges 10 mg"
799319,4010701,LA,300,,1000,"340,000.00",EA,07/04/2025,10/04/2025,,"BULK, Clotrimazole Lozenges 10 mg"
799507,4010701,LA,300,,1000,"340,000.00",EA,07/04/2025,10/04/2025,,"BULK, Clotrimazole Lozenges 10 mg"
801904,4010701,LA,300,,1000,"340,000.00",EA,07/04/2025,10/04/2025,,"BULK, Clotrimazole Lozenges 10 mg"
808849,4010701,LA,300,,1000,"340,000.00",EA,02/06/2025,05/06/2025,,"BULK, Clotrimazole Lozenges 10 mg"
809047,4010701,LA,300,,1000,"340,000.00",EA,02/06/2025,05/06/2025,,"BULK, Clotrimazole Lozenges 10 mg"
809991,4010701,LA,300,,1000,"340,000.00",EA,02/06/2025,05/06/2025,,"BULK, Clotrimazole Lozenges 10 mg"
810138,4010701,LA,300,,1000,"340,000.00",EA,02/06/2025,05/06/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831012,4010701,LA,300,,1000,"340,000.00",EA,15/07/2025,22/07/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831013,4010701,LA,300,,1000,"340,000.00",EA,22/07/2025,29/07/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831014,4010701,LA,300,,1000,"340,000.00",EA,29/07/2025,05/08/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831015,4010701,LA,300,,1000,"340,000.00",EA,12/08/2025,19/08/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831016,4010701,LA,300,,1000,"340,000.00",EA,19/08/2025,26/08/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831017,4010701,LA,300,,1000,"340,000.00",EA,03/09/2025,10/09/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831018,4010701,LA,300,,1000,"340,000.00",EA,17/09/2025,24/09/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831019,4010701,LA,300,,1000,"340,000.00",EA,24/09/2025,01/10/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831020,4010701,LA,300,,1000,"340,000.00",EA,07/10/2025,14/10/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831021,4010701,LA,300,,1000,"340,000.00",EA,20/10/2025,27/10/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831022,4010701,LA,300,,1000,"340,000.00",EA,24/10/2025,31/10/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831023,4010701,LA,300,,1000,"340,000.00",EA,28/10/2025,04/11/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831024,4010701,LA,300,,1000,"340,000.00",EA,11/11/2025,18/11/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831025,4010701,LA,300,,1000,"340,000.00",EA,25/11/2025,04/12/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831026,4010701,LA,300,,1000,"340,000.00",EA,04/12/2025,11/12/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831027,4010701,LA,300,,1000,"340,000.00",EA,18/12/2025,29/12/2025,,"BULK, Clotrimazole Lozenges 10 mg"
831028,4010701,LA,300,,1000,"340,000.00",EA,07/01/2026,14/01/2026,,"BULK, Clotrimazole Lozenges 10 mg"
831029,4010701,LA,300,,1000,"340,000.00",EA,14/01/2026,21/01/2026,,"BULK, Clotrimazole Lozenges 10 mg"
831030,4010701,LA,300,,1000,"340,000.00",EA,28/01/2026,04/02/2026,,"BULK, Clotrimazole Lozenges 10 mg"
770061,4012000,LA,300,,1000,"1,963.00",KG,03/03/2025,04/03/2025,,"BULK, Actidose w/Sorbitol"
818634,4012000,LA,300,,1000,"1,963.00",KG,16/06/2025,17/06/2025,,"BULK, Actidose w/Sorbitol"
824967,4012000,LA,300,,1000,"1,963.00",KG,15/07/2025,16/07/2025,,"BULK, Actidose w/Sorbitol"
